1	130.39835605157361 90.850598578016971
2	130.41695707138004 111.84123030182384
3	114.94605556610944 88.646251920304195
4	132.68842513368335 81.433645537040789
5	117.31544468937507 121.41226428781982
6	176.44864559028841 120.19145365617271
7	104.65920659307477 75.555815484624361
8	134.25244501036499 80.564088358215756
9	127.02686653232746 95.499283961084799
10	108.17156390417959 65.877342810810276
11	104.66739192691016 72.673498784646213
12	115.05147600204593 72.240472574209178
13	99.230385813611477 57.059477676683528
14	103.99699782568541 93.727352355905182
15	91.420032692289951 79.550237471450018
16	119.53394738145228 77.643329472782327
17	108.96122950210547 99.012281032608541
18	83.849468460981171 59.087249166068311
19	135.30159923768727 114.97782043443415
20	119.43825353755638 88.199139814153355
21	136.88197609383263 72.528133601593467
22	124.97299436654627 90.433182192055838
23	123.44204660689088 90.501011023491486
24	121.8942524438656 74.322966747630176
25	96.994722244926152 73.513971378091085
26	157.75465956208268 114.44643651776697
27	160.22131870866872 124.33199431044289
28	144.59921593556933 123.27628495802641
29	144.310672444803 112.96235733833679
30	219.34865084816593 118.41526870434457
31	131.95716657236915 109.73021882470336
32	143.35161932984892 116.3945820692083
33	114.2445235388321 105.99372847134474
34	112.69143605584502 88.69685501523287
35	153.74113738423677 112.53645725332456
36	176.36161044476665 150.25533096084291
37	115.49914027544843 113.55374389053588
38	129.10348792077164 95.71616948584807
39	112.35242357414046 79.166511181413753
40	152.20905701167493 138.09171731908199
41	116.13481721794523 90.037842142060114
42	247.1923267982985 128.9315821980459
43	196.07836048681904 112.46647163917766
44	198.92222369410686 152.40061546227113
45	216.73298046840566 164.29305337513344
46	198.4191391073187 163.92875049533285
47	101.78217320864273 80.875043750482135
48	159.84760758790651 106.1256475268513
49	168.61473746485413 149.46641648435707
50	187.76713033915178 123.44485144065048
51	262.5852125438808 187.62009066558119
52	214.83300434111723 75.173094837381598
53	257.25138073355635 149.63072598996129
54	129.23882919061342 123.25606656518103
55	288.05552536041267 146.4282296878533
56	150.61764352200248 109.99676993783572
57	206.988295307263 142.06288059499079
58	153.81677184460304 88.013160700835769
59	157.09977010663647 109.72108567154977
60	170.55028297360516 151.24517976571417
61	219.66155432765265 131.45811797563425
62	210.8530022799805 163.310502932959
63	270.83309262817937 119.28439499745957
64	255.95014118215894 150.81780116182762
65	245.63041049426511 165.50451199052202
66	163.26211306575894 90.664833805013927
67	208.80207510445462 132.80227228663253
68	233.3097439899598 176.8746732106697
69	188.31271704903494 185.52781008701629
70	211.50889618105526 106.10602769517027
71	324.44264621976225 220.03499107657623
72	248.58700906699414 183.9647577354809
73	187.74426975139542 121.78034592173297
74	210.88405221069792 164.58858127780996
75	249.74337797899432 181.31541584873921
76	393.37391307804018 217.66029231934283
77	228.8313367500306 188.59575105932308
78	301.6864988985073 182.99780911389911
79	231.30182150281007 165.4209247322477
80	362.32824436251758 251.69301891160791
81	252.10348480317458 242.14836097076522
82	236.60650093345612 155.01987407841909
83	224.79995419349251 193.0838461475937
84	192.42491317905746 143.3296214527773
85	204.77120347410411 191.2358893253639
86	307.00570217048801 232.13009347353233
87	264.80690393005227 234.53965007355797
88	224.51824167860704 206.95818685712106
89	185.17888490770716 168.57638061110461
90	226.06373340046594 214.4583367704036
91	292.78690500151947 215.39683313610411
92	313.12056095976311 209.62928627947429
93	378.66126787403056 232.93941175420429
94	405.68853906543166 260.47785662343819
95	278.07899908113995 275.95155738953389
96	363.54247246913309 236.87233479980389
97	278.94498255905535 199.74395905062755
98	304.63871365415565 245.71540748103209
99	353.73627037030457 286.57537813202913
100	370.74957297749063 256.85313660460247
