  1 -162.85 -217.50 -30.349149
  2 -197.33 -271.80 -30.538202
  3 -151.87 -326.50 -32.741327
  4 -178.37 -157.50 -33.465198
  5 -155.85 -300.00 -30.813824
  6 -294.86 -300.00 0.418654
  7 -301.05 -300.00 -0.201787
  8 -296.89 -300.00 -0.035113
  9 -293.04 -300.00 -0.037740
 10 -285.03 -300.00 -0.558464
 11 -243.25 -167.00 -9.527661
 12 -259.21 -300.00 3.638270
 13 -260.87 -277.50 -8.835327
 14 -218.25 -300.00 -14.680805
 15 -185.39 -312.80 -36.248403
 16 -260.01 -367.10 -0.083004
 17 -197.66 -300.00 -7.156184
 18 -226.18 -140.90 -13.444012
 19 -188.68 -359.50 -33.033677
 20 -234.81 -300.00 -5.004357
 21 -297.67 -300.00 0.745440
 22 -300.45 -300.00 -0.082702
 23 -296.79 -300.00 0.353284
 24 -300.65 -300.00 -0.169664
 25 -292.29 -300.00 0.984413
 26 -296.90 -300.00 1.154485
 27 -291.84 -300.00 -0.936688
 28 -262.19 -291.60 -4.687685
 29 -179.86 -300.00 -28.672622
 30 -293.44 -300.00 1.040322
 31 -297.09 -300.00 -0.101889
 32 -293.71 -300.00 0.132030
 33 -275.94 -300.00 -0.905482
 34 -255.25 -169.70 -12.736508
 35 -222.09 -314.70 -30.122518
 36 -195.79 -251.70 -33.072455
 37 -224.77 -209.90 -2.343143
 38 -155.54 -300.00 -28.133193
 39 -277.08 -300.00 0.860456
 40 -226.22 -300.00 -13.125869
 41 -272.24 -298.40 -1.656631
 42 -190.10 -172.70 -30.664961
 43 -170.70 -300.00 -3.288638
 44 -273.35 -300.00 -2.523068
 45 -254.14 -184.10 -10.586441
 46 -141.73 -272.60 -28.372690
 47 -133.45 -300.00 -33.204855
 48 -182.16 -237.30 -30.162741
 49 -132.44 -300.00 -29.853635
 50 -227.50 -224.30 -11.330476
 51 -180.62 -283.20 -37.467243
 52 -138.96 -223.20 -44.825882
 53 -102.27 -54.60 -29.952857
 54 -127.32 -314.70 -43.222539
 55 -112.32   0.50 -31.001616
 56 -88.34 -193.20 -23.968582
 57 -27.62 -57.60 -28.326631
 58 -181.59 -219.40 -36.755902
 59 -259.32 -300.00 2.669750
 60 -271.06 -231.60 -2.222820
 61 -24.31 -300.00 -21.109656
 62 -285.16 -300.00 -1.536728
 63 -139.91 -157.50 -21.306306
 64 -269.14 -228.90 1.237056
 65 -264.94 -300.00 2.904950
 66 -281.71 -300.00 -1.361861
 67 -225.77 -312.80 -19.170829
 68 -304.53 -309.00 3.119159
 69 -245.32 -258.50 0.324953
 70 -131.46 -300.00 -16.764808
 71 -250.96 -262.30 -5.016247
 72 -219.22 -300.00 1.501652
 73 -281.77 -151.00 -0.849695
 74 -231.60 -271.40 -25.399315
 75 -123.57 -298.40 -44.842899
 76 -241.88 -309.00 -0.003706
 77 -252.71 -180.30 -0.003628
 78 -263.71 -320.40 -0.003962
 79 -300.72 -264.20 -0.365238
 80 -306.58 -309.00 -0.002290
 81 -278.18 -324.20 -0.002862
 82 -259.61 -359.50 -0.003401
 83 -304.52 -312.80 -0.353839
 84 -283.04 -223.20 -0.002625
 85 -320.70 -209.90 -0.001980
 86 -266.48 -213.70 -0.003146
 87 -274.76 -203.10 -0.002952
 88 -231.40 -337.50 -0.003785
 89 -254.86 -258.50 -0.003434
 90 -280.57 -269.90 -0.002742
 91 -269.60 -309.00 -0.003103
 92 -237.32 -205.00 -0.003713
 93 -253.20 -373.60 -0.003601
 94 -288.20 -211.80 -0.002930
 95 -287.90 -258.50 -0.002847
 96 -255.97 -269.90 -0.003551
 97 -251.41 -262.30 -0.003941
 98 -275.22 -163.20 -0.003205
 99 -262.49 -309.00 -0.003770
100 -260.67 -326.10 -0.003789
